id,birth_year,age,cohort,gender,region,migration_bg,parent_edu,parent_isei,books_home_15,urban_origin,edu,edu_years,n_children,first_job_isei,employed,work_hours,current_isei
23,1977,49,middle,female,fr,second_gen,upper_sec,43.0,1.0,0,matura_hv,15.4,2,26,1,24.7,19.0
24,1979,47,middle,male,de,none,tertiary,66.0,2.0,1,tertiary,17.71,0,62,1,53.7,79.0
25,1968,58,older,female,de,none,tertiary,88.0,3.0,0,tertiary,17.26,3,53,1,25.3,58.0
26,1984,42,middle,female,it,none,upper_sec,54.0,1.0,0,matura_hv,13.63,1,52,1,25.9,45.0
27,1977,49,middle,female,de,none,compulsory,,1.0,0,vet,12.31,1,42,1,42.5,40.0
28,1971,55,older,male,de,first_gen,compulsory,35.0,3.0,1,compulsory,9.61,0,31,1,52.5,43.0
29,1987,39,younger,male,fr,first_gen,upper_sec,52.0,3.0,1,vet,11.68,0,46,0,,
30,1991,35,younger,female,de,first_gen,upper_sec,,2.0,0,matura_hv,14.73,1,40,1,37.8,33.0
31,1978,48,middle,female,de,none,compulsory,35.0,1.0,0,vet,11.28,3,42,1,25.5,29.0
32,1974,52,older,male,de,none,upper_sec,38.0,,0,vet,12.37,1,45,0,,
33,1980,46,middle,female,de,none,tertiary,54.0,1.0,1,matura_hv,14.14,0,43,1,27.5,52.0
34,1967,59,older,female,fr,none,upper_sec,47.0,2.0,0,vet,12.9,0,40,1,49.1,49.0
35,1967,59,older,female,de,second_gen,tertiary,64.0,3.0,1,matura_hv,15.23,4,56,1,9.6,52.0
36,1971,55,older,male,fr,none,upper_sec,40.0,,0,tertiary,17.43,0,46,1,49.1,66.0
37,1963,63,older,female,de,none,compulsory,,1.0,1,vet,12.03,4,44,1,12.1,16.0
38,1980,46,middle,male,de,second_gen,compulsory,17.0,3.0,0,vet,11.12,2,53,1,47.5,38.0
39,1990,36,younger,male,de,none,compulsory,45.0,1.0,0,vet,11.53,0,24,1,38.9,16.0
40,1989,37,younger,male,de,none,upper_sec,26.0,1.0,1,compulsory,8.13,4,21,1,35.2,34.0
41,1974,52,older,male,fr,second_gen,upper_sec,38.0,2.0,0,vet,12.77,0,43,1,34.6,48.0
42,1966,60,older,male,de,none,tertiary,47.0,2.0,0,matura_hv,14.79,1,49,1,39.5,53.0
43,1991,35,younger,female,de,none,upper_sec,30.0,1.0,0,matura_hv,14.12,0,47,1,49.2,35.0
44,1993,33,younger,female,fr,second_gen,upper_sec,50.0,4.0,0,vet,12.83,2,49,1,23.4,50.0
45,1974,52,older,male,fr,none,tertiary,82.0,5.0,0,vet,13.0,2,55,1,43.0,70.0
46,1979,47,middle,female,de,first_gen,upper_sec,30.0,2.0,0,vet,11.7,0,44,1,33.4,55.0
47,1988,38,younger,male,fr,none,compulsory,26.0,1.0,0,vet,12.12,0,49,1,46.6,51.0
48,1976,50,middle,male,de,none,upper_sec,52.0,3.0,0,vet,11.73,1,34,1,39.4,44.0
49,1980,46,middle,male,de,none,upper_sec,60.0,2.0,0,vet,11.57,0,53,1,30.5,52.0
50,1969,57,older,female,fr,none,upper_sec,53.0,4.0,0,matura_hv,14.03,1,49,1,26.4,36.0
51,1969,57,older,male,de,none,compulsory,49.0,3.0,0,vet,12.25,2,46,1,39.5,34.0
52,1988,38,younger,male,de,none,upper_sec,41.0,2.0,1,matura_hv,13.69,0,37,1,48.1,54.0
53,1972,54,older,female,de,second_gen,upper_sec,60.0,4.0,0,tertiary,17.64,1,57,1,33.0,46.0
54,1962,64,older,female,fr,none,tertiary,71.0,5.0,0,tertiary,16.98,4,55,1,4.0,68.0
55,1970,56,older,male,de,none,compulsory,21.0,5.0,0,compulsory,8.7,4,33,1,42.3,26.0
56,1995,31,younger,male,de,none,tertiary,82.0,5.0,0,tertiary,16.56,0,84,1,34.5,76.0
57,1982,44,middle,female,de,none,upper_sec,79.0,4.0,1,matura_hv,14.44,1,34,1,30.0,37.0
58,1973,53,older,male,de,second_gen,tertiary,,3.0,1,matura_hv,13.55,2,28,1,35.3,38.0
59,1985,41,middle,female,fr,none,compulsory,29.0,1.0,1,compulsory,8.03,4,38,1,18.4,25.0
60,1989,37,younger,male,de,first_gen,upper_sec,49.0,1.0,0,vet,12.13,0,35,0,,
61,1992,34,younger,female,fr,none,tertiary,53.0,4.0,1,tertiary,17.51,0,55,1,44.5,79.0
62,1980,46,middle,female,fr,first_gen,upper_sec,32.0,3.0,1,matura_hv,14.64,0,46,1,37.4,38.0
63,1967,59,older,male,de,second_gen,upper_sec,,1.0,0,matura_hv,14.62,3,40,1,44.8,62.0
64,1975,51,older,female,fr,none,upper_sec,37.0,2.0,1,vet,11.3,2,38,1,25.0,27.0
65,1985,41,middle,male,de,none,upper_sec,51.0,4.0,0,vet,11.03,2,39,0,,
66,1994,32,younger,male,de,none,compulsory,23.0,1.0,1,vet,12.03,0,50,1,43.1,59.0
67,1977,49,middle,female,it,none,compulsory,,2.0,0,compulsory,9.99,0,43,1,39.5,38.0
68,1992,34,younger,female,de,none,tertiary,61.0,5.0,1,tertiary,16.58,1,57,1,36.4,67.0
69,1977,49,middle,female,de,none,upper_sec,17.0,2.0,1,vet,11.23,4,41,1,15.3,35.0
70,1975,51,older,female,de,second_gen,compulsory,,1.0,1,vet,12.15,1,24,1,36.7,16.0
71,1962,64,older,male,de,none,upper_sec,28.0,2.0,1,matura_hv,14.82,4,58,1,37.4,64.0
72,1975,51,older,male,fr,first_gen,compulsory,,1.0,0,compulsory,8.3,3,23,1,39.5,16.0
73,1989,37,younger,female,fr,none,compulsory,28.0,1.0,1,vet,12.79,1,33,1,27.8,38.0
74,1990,36,younger,female,fr,first_gen,upper_sec,60.0,4.0,1,vet,12.99,1,60,1,46.0,49.0
75,1983,43,middle,male,fr,none,tertiary,70.0,4.0,1,tertiary,17.94,0,60,1,34.2,52.0
76,1979,47,middle,female,de,none,upper_sec,44.0,2.0,0,vet,12.92,3,47,1,23.6,35.0
77,1977,49,middle,male,fr,first_gen,compulsory,,2.0,0,vet,12.73,0,28,1,37.2,22.0
78,1992,34,younger,male,fr,none,tertiary,27.0,1.0,1,tertiary,17.26,0,44,1,44.0,65.0
79,1993,33,younger,female,de,none,upper_sec,38.0,3.0,0,vet,12.5,0,42,1,32.2,50.0
80,1990,36,younger,male,de,none,upper_sec,42.0,2.0,1,matura_hv,15.3,1,52,1,43.3,65.0
81,1965,61,older,female,fr,none,upper_sec,62.0,5.0,1,matura_hv,14.03,3,57,1,22.9,61.0
82,1990,36,younger,male,de,none,upper_sec,54.0,3.0,0,vet,11.69,1,37,1,57.6,39.0
83,1971,55,older,female,fr,first_gen,upper_sec,63.0,3.0,1,vet,11.29,3,37,1,29.2,35.0
84,1984,42,middle,male,de,none,compulsory,28.0,3.0,1,vet,11.7,1,45,0,,
85,1989,37,younger,male,de,none,compulsory,16.0,3.0,1,vet,11.44,0,33,1,32.8,45.0
86,1979,47,middle,female,de,second_gen,upper_sec,31.0,2.0,0,vet,12.85,2,38,1,29.9,31.0
87,1962,64,older,female,fr,first_gen,compulsory,,3.0,0,vet,12.74,1,32,1,22.6,18.0
88,1974,52,older,male,de,first_gen,upper_sec,51.0,2.0,1,vet,11.54,0,55,1,43.3,47.0
89,1963,63,older,female,de,none,compulsory,27.0,2.0,0,compulsory,9.36,1,30,1,24.2,20.0
90,1991,35,younger,male,fr,none,tertiary,58.0,5.0,0,tertiary,16.87,0,51,1,41.3,73.0
91,1976,50,middle,female,it,none,tertiary,49.0,2.0,1,matura_hv,14.31,1,60,1,36.0,71.0
92,1977,49,middle,female,de,none,tertiary,64.0,5.0,1,vet,11.65,4,56,0,,
93,1970,56,older,male,fr,none,upper_sec,32.0,2.0,0,compulsory,8.25,2,38,1,36.5,41.0
94,1962,64,older,female,de,none,upper_sec,,3.0,1,tertiary,16.95,1,51,1,42.3,56.0
95,1977,49,middle,female,fr,first_gen,tertiary,68.0,5.0,1,matura_hv,13.89,0,43,1,45.3,67.0
96,1980,46,middle,female,de,first_gen,tertiary,51.0,5.0,1,tertiary,18.21,0,50,1,41.7,63.0
97,1966,60,older,female,de,none,compulsory,,2.0,0,vet,11.05,2,41,1,24.5,48.0
98,1993,33,younger,male,fr,none,compulsory,43.0,5.0,0,vet,12.05,1,25,1,44.5,44.0
99,1983,43,middle,male,de,none,compulsory,16.0,3.0,0,compulsory,8.43,3,33,1,45.0,28.0
100,1962,64,older,male,de,none,upper_sec,65.0,5.0,0,vet,11.09,2,47,1,43.1,44.0
101,1971,55,older,female,de,none,upper_sec,43.0,2.0,0,matura_hv,15.12,1,42,1,40.7,49.0
102,1971,55,older,male,it,none,compulsory,,2.0,1,vet,11.16,3,35,1,28.3,16.0
103,1979,47,middle,female,fr,first_gen,compulsory,16.0,2.0,0,compulsory,8.14,2,18,0,,
104,1973,53,older,female,de,none,compulsory,49.0,4.0,1,vet,12.26,1,17,1,41.6,26.0
105,1973,53,older,male,de,none,compulsory,,1.0,0,compulsory,9.73,0,41,1,39.5,33.0
106,1984,42,middle,male,de,none,upper_sec,,4.0,0,vet,11.59,0,40,1,40.3,39.0
107,1975,51,older,male,de,second_gen,upper_sec,37.0,,0,vet,12.12,1,30,1,39.1,54.0
108,1962,64,older,male,fr,second_gen,compulsory,39.0,2.0,0,compulsory,9.01,2,41,1,46.6,47.0
109,1991,35,younger,female,de,first_gen,tertiary,69.0,4.0,0,tertiary,16.6,0,73,1,39.8,86.0
110,1984,42,middle,female,de,first_gen,compulsory,,3.0,0,vet,11.03,0,36,1,37.2,25.0
111,1980,46,middle,female,de,second_gen,compulsory,36.0,3.0,0,vet,11.88,3,42,1,16.7,27.0
112,1990,36,younger,male,de,second_gen,upper_sec,42.0,3.0,1,vet,12.92,1,55,1,36.3,48.0
113,1962,64,older,female,de,second_gen,compulsory,,2.0,0,vet,12.39,0,39,1,36.5,35.0
114,1975,51,older,male,de,none,compulsory,31.0,1.0,0,compulsory,8.81,0,38,1,37.6,20.0
115,1967,59,older,female,de,none,upper_sec,30.0,4.0,1,vet,12.17,3,29,1,18.7,39.0
116,1984,42,middle,female,de,none,tertiary,72.0,5.0,1,vet,11.79,1,41,1,37.0,44.0
117,1969,57,older,male,de,first_gen,upper_sec,,1.0,0,vet,11.15,0,30,1,40.2,50.0
118,1965,61,older,female,de,none,upper_sec,46.0,3.0,0,vet,12.3,0,53,1,27.9,45.0
119,1995,31,younger,female,de,none,upper_sec,47.0,2.0,0,tertiary,17.38,0,67,1,42.9,86.0
120,1962,64,older,male,de,none,compulsory,53.0,4.0,1,vet,11.36,1,60,1,47.4,51.0
121,1971,55,older,female,de,first_gen,compulsory,40.0,3.0,0,vet,11.81,1,27,1,47.5,32.0
122,1969,57,older,female,it,none,compulsory,38.0,1.0,1,tertiary,18.16,4,50,1,4.0,55.0
123,1970,56,older,male,de,none,upper_sec,54.0,3.0,1,compulsory,9.13,0,25,0,,
124,1969,57,older,male,fr,none,compulsory,40.0,3.0,0,vet,11.55,2,41,1,40.2,41.0
125,1974,52,older,female,de,none,upper_sec,42.0,5.0,1,tertiary,17.57,1,50,1,42.5,55.0
126,1976,50,middle,male,de,second_gen,compulsory,17.0,1.0,0,compulsory,8.38,1,40,1,47.2,47.0
127,1969,57,older,male,de,none,compulsory,,1.0,1,vet,11.01,4,30,1,43.6,70.0
128,1993,33,younger,male,de,none,tertiary,51.0,2.0,1,tertiary,17.97,0,60,1,43.9,67.0
129,1995,31,younger,male,fr,none,upper_sec,63.0,5.0,0,vet,12.77,1,30,1,51.1,39.0
130,1983,43,middle,female,de,second_gen,upper_sec,58.0,5.0,1,tertiary,18.46,2,64,1,29.1,60.0
131,1962,64,older,female,de,first_gen,upper_sec,32.0,4.0,1,vet,12.73,0,61,1,34.0,63.0
132,1965,61,older,male,de,none,compulsory,29.0,2.0,1,vet,12.73,0,46,1,45.4,68.0
133,1981,45,middle,male,de,none,tertiary,51.0,4.0,1,tertiary,17.61,0,52,1,48.3,56.0
134,1968,58,older,male,fr,none,compulsory,16.0,3.0,0,vet,12.36,1,41,1,45.8,53.0
135,1993,33,younger,male,de,none,upper_sec,47.0,3.0,1,tertiary,17.21,0,40,1,50.2,41.0
136,1974,52,older,female,de,none,tertiary,74.0,5.0,0,tertiary,17.26,1,70,1,33.5,79.0
137,1969,57,older,male,de,none,compulsory,18.0,2.0,0,compulsory,9.55,2,16,1,35.9,36.0
138,1982,44,middle,male,de,none,tertiary,76.0,5.0,1,tertiary,18.19,0,55,1,32.9,60.0
139,1963,63,older,female,de,none,compulsory,41.0,5.0,0,tertiary,17.68,2,44,1,22.3,55.0
140,1987,39,younger,female,fr,none,upper_sec,35.0,3.0,0,tertiary,17.2,1,52,1,28.8,70.0
141,1985,41,middle,male,de,second_gen,upper_sec,,1.0,1,vet,12.4,1,48,1,49.3,47.0
142,1995,31,younger,male,de,second_gen,upper_sec,29.0,3.0,0,vet,12.33,0,35,0,,
143,1984,42,middle,female,fr,none,upper_sec,,2.0,1,vet,11.35,2,43,1,27.1,35.0
144,1962,64,older,male,it,none,upper_sec,47.0,4.0,1,matura_hv,13.73,1,42,1,50.6,53.0
145,1995,31,younger,female,fr,none,tertiary,38.0,4.0,0,tertiary,17.99,1,61,0,,
146,1982,44,middle,male,de,none,upper_sec,28.0,4.0,0,vet,12.43,2,43,1,41.7,54.0
147,1968,58,older,male,de,none,upper_sec,,1.0,1,vet,12.77,1,24,1,43.4,34.0
148,1970,56,older,male,de,second_gen,upper_sec,,3.0,0,vet,12.28,1,48,1,37.8,55.0
149,1976,50,middle,female,de,second_gen,compulsory,35.0,2.0,0,matura_hv,15.25,1,24,1,33.6,27.0
150,1989,37,younger,female,de,none,tertiary,64.0,3.0,1,tertiary,17.69,2,56,1,25.5,67.0
151,1975,51,older,female,de,none,upper_sec,52.0,3.0,0,matura_hv,15.15,0,41,1,46.5,27.0
152,1967,59,older,male,de,none,upper_sec,,3.0,0,tertiary,17.95,2,64,1,38.9,68.0
153,1979,47,middle,female,fr,none,compulsory,29.0,3.0,0,vet,12.14,2,33,1,31.7,32.0
154,1965,61,older,female,de,none,upper_sec,30.0,3.0,1,tertiary,18.05,2,55,1,30.1,53.0
155,1968,58,older,female,de,none,compulsory,50.0,2.0,0,vet,11.54,3,41,1,23.8,41.0
156,1982,44,middle,male,de,none,upper_sec,40.0,2.0,0,matura_hv,13.6,0,42,1,36.0,47.0
157,1965,61,older,female,de,first_gen,upper_sec,47.0,4.0,1,vet,12.99,1,50,1,24.6,49.0
158,1996,30,younger,male,fr,second_gen,upper_sec,38.0,1.0,0,vet,11.63,0,30,1,54.3,46.0
159,1978,48,middle,male,de,none,upper_sec,38.0,3.0,0,vet,12.72,1,48,1,42.2,34.0
160,1984,42,middle,female,fr,first_gen,tertiary,,5.0,0,tertiary,18.31,4,64,1,12.4,46.0
161,1996,30,younger,male,de,second_gen,tertiary,,2.0,1,tertiary,17.05,2,52,1,41.7,54.0
162,1991,35,younger,male,de,none,compulsory,,1.0,0,compulsory,9.96,0,30,1,41.8,29.0
163,1985,41,middle,female,de,first_gen,upper_sec,,5.0,1,matura_hv,15.05,2,40,1,36.7,39.0
164,1992,34,younger,female,de,none,upper_sec,48.0,2.0,0,matura_hv,13.62,1,53,1,37.7,78.0
165,1961,65,older,female,de,none,upper_sec,66.0,4.0,0,tertiary,18.07,4,50,1,27.8,59.0
166,1961,65,older,male,it,none,upper_sec,37.0,2.0,0,compulsory,8.85,1,47,1,32.1,49.0
167,1969,57,older,male,fr,none,upper_sec,42.0,3.0,0,matura_hv,13.85,3,51,1,40.7,86.0
168,1989,37,younger,other,de,none,upper_sec,30.0,,0,vet,11.25,3,39,1,46.3,21.0
169,1965,61,older,male,de,none,compulsory,42.0,2.0,0,vet,11.38,1,32,1,42.6,46.0
170,1983,43,middle,male,de,second_gen,upper_sec,49.0,1.0,1,matura_hv,14.69,0,41,1,46.1,63.0
171,1984,42,middle,female,de,none,tertiary,75.0,4.0,1,tertiary,16.78,2,74,1,30.4,71.0
172,1980,46,middle,female,it,first_gen,upper_sec,43.0,4.0,0,matura_hv,14.74,2,46,1,17.4,48.0
173,1982,44,middle,female,de,none,upper_sec,16.0,3.0,0,compulsory,9.81,0,25,1,40.6,36.0
174,1977,49,middle,female,fr,none,upper_sec,26.0,1.0,0,vet,12.03,3,42,1,25.4,20.0
175,1988,38,younger,male,it,none,tertiary,64.0,2.0,0,vet,11.58,1,51,1,29.4,48.0
176,1964,62,older,male,de,none,upper_sec,,1.0,1,compulsory,9.23,2,49,0,,
177,1980,46,middle,female,de,none,tertiary,67.0,4.0,1,matura_hv,13.8,3,53,1,18.1,49.0
178,1962,64,older,female,fr,none,compulsory,28.0,,0,matura_hv,14.35,1,48,1,32.5,43.0
179,1970,56,older,female,fr,second_gen,compulsory,32.0,1.0,0,vet,12.8,3,44,1,27.4,46.0
180,1984,42,middle,female,it,second_gen,upper_sec,38.0,3.0,0,vet,12.43,0,41,1,44.5,42.0
181,1988,38,younger,male,de,first_gen,upper_sec,27.0,2.0,1,vet,11.3,1,56,1,35.5,20.0
182,1975,51,older,female,de,first_gen,tertiary,,4.0,1,tertiary,18.04,0,68,1,42.1,60.0
183,1967,59,older,other,fr,first_gen,upper_sec,,3.0,1,tertiary,18.33,1,48,1,44.7,48.0
184,1979,47,middle,male,it,first_gen,compulsory,,1.0,0,compulsory,8.6,0,25,1,42.6,27.0
185,1980,46,middle,other,de,none,upper_sec,50.0,3.0,1,compulsory,8.54,4,19,1,43.9,25.0
186,1987,39,younger,male,fr,second_gen,upper_sec,41.0,3.0,0,vet,11.95,0,38,1,44.8,65.0
187,1989,37,younger,male,it,first_gen,compulsory,16.0,1.0,1,vet,12.19,1,38,0,,
188,1988,38,younger,female,fr,none,upper_sec,42.0,1.0,0,vet,12.48,0,41,1,45.5,42.0
189,1988,38,younger,female,de,second_gen,tertiary,,5.0,0,tertiary,17.12,1,39,1,35.9,62.0
190,1972,54,older,male,de,none,tertiary,59.0,4.0,1,tertiary,16.65,4,56,1,48.1,78.0
191,1970,56,older,female,de,second_gen,tertiary,,2.0,0,matura_hv,13.58,3,49,1,22.6,53.0
192,1961,65,older,male,de,second_gen,compulsory,,3.0,1,vet,12.72,0,47,1,45.6,47.0
193,1968,58,older,female,de,none,upper_sec,55.0,4.0,1,matura_hv,13.67,3,48,1,15.2,42.0
194,1996,30,younger,female,de,second_gen,tertiary,55.0,3.0,1,matura_hv,14.27,2,32,1,24.1,61.0
195,1978,48,middle,female,fr,none,upper_sec,43.0,2.0,0,matura_hv,14.98,0,65,1,40.7,59.0
196,1983,43,middle,female,de,none,upper_sec,36.0,4.0,0,tertiary,17.75,0,45,1,41.4,47.0
197,1965,61,older,female,de,none,upper_sec,46.0,3.0,1,matura_hv,15.41,1,51,1,31.2,61.0
198,1969,57,older,female,fr,none,upper_sec,26.0,1.0,1,vet,12.57,3,29,0,,
199,1964,62,older,female,de,second_gen,compulsory,31.0,3.0,0,compulsory,9.81,0,30,0,,
200,1963,63,older,female,de,none,compulsory,27.0,1.0,0,matura_hv,14.42,2,45,1,12.0,39.0
201,1985,41,middle,female,de,first_gen,upper_sec,40.0,4.0,0,vet,12.6,1,59,1,19.7,37.0
202,1996,30,younger,female,de,none,upper_sec,50.0,3.0,0,vet,11.71,0,56,1,33.4,71.0
203,1978,48,middle,male,de,none,upper_sec,52.0,3.0,1,compulsory,9.89,2,41,1,47.8,61.0
204,1968,58,older,male,de,none,tertiary,63.0,3.0,1,matura_hv,14.83,1,49,1,42.0,64.0
205,1993,33,younger,male,de,none,compulsory,27.0,1.0,0,compulsory,9.88,3,28,1,41.9,27.0
206,1975,51,older,male,de,second_gen,upper_sec,61.0,3.0,1,tertiary,18.08,1,51,1,51.8,70.0
207,1986,40,younger,female,de,first_gen,upper_sec,60.0,2.0,0,vet,11.01,2,23,1,39.4,36.0
208,1966,60,older,male,de,first_gen,upper_sec,,2.0,0,vet,12.68,1,55,1,44.8,58.0
209,1990,36,younger,male,de,second_gen,compulsory,,1.0,0,vet,12.57,1,36,1,42.1,35.0
210,1965,61,older,male,de,second_gen,upper_sec,51.0,,0,compulsory,8.51,2,46,1,37.5,46.0
211,1975,51,older,male,de,none,upper_sec,61.0,4.0,1,vet,12.76,1,55,1,47.1,41.0
212,1995,31,younger,male,de,none,tertiary,47.0,3.0,0,matura_hv,14.11,2,33,1,42.3,36.0
213,1983,43,middle,male,de,second_gen,upper_sec,50.0,1.0,1,tertiary,16.94,1,50,1,44.1,70.0
214,1974,52,older,male,de,second_gen,compulsory,,1.0,0,compulsory,9.04,4,37,1,48.3,42.0
215,1994,32,younger,female,de,second_gen,upper_sec,26.0,1.0,1,tertiary,18.23,3,47,0,,
216,1970,56,older,male,it,none,upper_sec,44.0,4.0,0,tertiary,18.06,3,52,1,31.0,54.0
217,1986,40,younger,male,fr,none,upper_sec,33.0,2.0,1,matura_hv,13.51,2,37,1,44.9,57.0
218,1986,40,younger,female,de,none,upper_sec,40.0,2.0,1,vet,11.99,1,48,1,32.1,54.0
219,1965,61,older,female,de,none,upper_sec,49.0,5.0,1,tertiary,18.17,1,41,1,35.5,59.0
220,1962,64,older,male,de,none,compulsory,30.0,1.0,0,vet,12.33,0,43,1,41.8,48.0
221,1995,31,younger,female,de,none,upper_sec,40.0,1.0,0,vet,12.85,1,43,0,,
222,1991,35,younger,female,it,none,tertiary,58.0,5.0,1,tertiary,16.54,1,43,1,37.6,40.0
223,1979,47,middle,male,de,none,compulsory,17.0,3.0,0,vet,11.42,1,31,1,52.3,36.0
224,1988,38,younger,female,de,first_gen,upper_sec,16.0,3.0,0,vet,11.69,0,41,1,27.9,40.0
225,1988,38,younger,male,fr,second_gen,upper_sec,20.0,3.0,1,vet,12.73,0,32,1,36.2,30.0
226,1983,43,middle,male,de,second_gen,compulsory,40.0,2.0,0,compulsory,9.22,3,41,1,43.2,51.0
227,1964,62,older,male,fr,none,upper_sec,49.0,3.0,0,vet,11.44,0,50,1,31.5,46.0
228,1974,52,older,female,de,second_gen,compulsory,37.0,3.0,0,compulsory,9.24,0,38,1,35.0,29.0
229,1974,52,older,female,fr,none,upper_sec,16.0,4.0,0,vet,12.13,0,49,0,,
230,1965,61,older,female,fr,none,tertiary,52.0,5.0,0,tertiary,17.2,1,61,0,,
231,1972,54,older,male,de,none,tertiary,63.0,3.0,0,vet,11.33,4,27,1,56.3,62.0
232,1991,35,younger,other,it,second_gen,tertiary,83.0,4.0,1,tertiary,18.18,1,51,1,34.3,55.0
233,1993,33,younger,male,fr,none,tertiary,80.0,2.0,0,matura_hv,14.9,1,36,1,47.3,53.0
234,1987,39,younger,female,de,first_gen,compulsory,17.0,1.0,1,vet,11.31,1,16,1,38.5,20.0
235,1969,57,older,female,de,none,tertiary,66.0,3.0,1,vet,12.23,2,69,1,40.1,59.0
236,1986,40,younger,female,de,first_gen,upper_sec,,2.0,1,vet,12.93,0,38,0,,
237,1965,61,older,male,de,none,compulsory,30.0,1.0,0,compulsory,9.73,1,28,1,50.1,44.0
238,1979,47,middle,other,de,none,upper_sec,38.0,3.0,0,vet,12.89,2,47,1,33.2,59.0
239,1985,41,middle,female,de,first_gen,upper_sec,,2.0,1,tertiary,18.28,4,65,0,,
240,1979,47,middle,male,fr,none,upper_sec,32.0,2.0,0,matura_hv,15.32,3,59,1,49.8,75.0
241,1973,53,older,male,fr,none,compulsory,20.0,4.0,0,vet,11.99,1,26,1,36.0,45.0
242,1974,52,older,female,fr,none,upper_sec,21.0,3.0,1,vet,12.04,1,26,1,30.4,26.0
243,1963,63,older,female,de,second_gen,upper_sec,51.0,3.0,0,tertiary,17.54,2,59,1,25.3,56.0
244,1989,37,younger,male,de,none,upper_sec,42.0,3.0,1,matura_hv,14.25,0,50,1,39.4,31.0
245,1970,56,older,male,it,none,upper_sec,29.0,2.0,1,vet,11.19,2,48,1,41.2,39.0
246,1994,32,younger,male,de,none,tertiary,82.0,4.0,1,tertiary,17.49,2,37,1,45.1,58.0
247,1975,51,older,female,de,first_gen,tertiary,54.0,3.0,0,compulsory,9.59,0,55,1,29.3,35.0
248,1979,47,middle,male,it,none,tertiary,43.0,3.0,1,vet,11.37,4,42,1,35.4,52.0
249,1989,37,younger,female,it,none,tertiary,59.0,4.0,1,matura_hv,13.87,0,35,1,39.1,50.0
250,1982,44,middle,female,de,none,upper_sec,,2.0,0,vet,12.9,0,55,1,43.1,27.0
251,1986,40,younger,female,de,none,upper_sec,27.0,1.0,1,vet,12.03,0,45,1,41.4,48.0
252,1990,36,younger,female,de,none,upper_sec,,2.0,1,vet,11.42,0,26,1,43.5,27.0
253,1977,49,middle,female,de,first_gen,upper_sec,35.0,3.0,0,vet,12.67,2,37,1,19.8,46.0
254,1971,55,older,female,de,second_gen,tertiary,72.0,4.0,1,matura_hv,14.5,3,58,1,27.0,61.0
255,1993,33,younger,female,de,none,tertiary,42.0,3.0,1,tertiary,18.33,1,58,1,42.3,54.0
256,1988,38,younger,male,de,second_gen,compulsory,,3.0,0,vet,11.36,0,40,1,36.8,53.0
257,1983,43,middle,female,de,second_gen,upper_sec,20.0,,0,matura_hv,13.89,1,56,1,27.4,50.0
258,1980,46,middle,female,de,second_gen,compulsory,41.0,4.0,1,vet,12.81,1,31,1,35.9,42.0
